id,name,associated_reactions
G_STM1117,agp,[]
G_STM1954,fliY,[]
G_STM0006,yaaJ,[]
G_STM0222,cdsA,[]
G_STM3195,ribB,[]
G_STM2095,rfbA,[]
G_STM3680,aldB,[]
G_STM3923,rffH,[]
G_STM1489,ynfK,[]
G_STM0527,allC,[]
G_STM0797,bioD,[]
G_STM0202,hemL,[]
G_STM0523,allB,[]
G_STM4249,aphA,[]
G_STM4235,plsB,[]
G_STM2121,dcd,[]
G_STM0522,allP,[]
G_STM0255,yafB,[]
G_STM2391,fadL,[]
G_STM3165,yqhE,[]
G_STM3829,dgoK,[]
G_STM1288,STM1288,[]
G_STM3612,kdgK,[]
G_STM4108,gldA,[]
G_STM1347,aroH,[]
G_STM3513,malQ,[]
G_STM3554,ugpC,[]
G_STM3556,ugpA,[]
G_STM3337,nanE,[]
G_STM2670,aroF,[]
G_STM0760,aroG,[]
G_STM3336,nanK,[]
G_STM3555,ugpE,[]
G_STM0793,bioA,[]
G_STM3557,ugpB,[]
G_STM3740,gmk,[]
G_STM3970,ubiE,[]
G_STM3904,ilvD,[]
G_STM3700,gpsA,[]
G_STM4164,thiC,[]
G_STM2285,glpB,[]
G_STM0598,entA,[]
G_STM2009,amn,[]
G_STM0596,entE,[]
G_STM0064,dapB,[]
G_STM1057,pepN,[]
G_STM2286,glpC,[]
G_STM2536,pepB,[]
G_STM3526,glpD,[]
G_STM2489,dapA,[]
G_STM4477,pepA,[]
G_STM2284,glpA,[]
G_STM0316,pepD,[]
G_STM0087,folA,[]
G_STM1446,ydhH,[]
G_STM2365,folC,[]
G_STM0322,proA,[]
G_STM1724,trpD,[]
G_STM0684,nagB,[]
G_STM1886,zwf,[]
G_STM4090,menA,[]
G_STM1723,trpE,[]
G_STM0795,bioF,[]
G_STM3206,folB,[]
G_STM0088,apaH,[]
G_STM1058,pyrD,[]
G_STM3827,dgoT,[]
G_STM0416,ribD,[]
G_STM2962,gudT,[]
G_STM0102,araA,[]
G_STM1163,pyrC,[]
G_STM0192,fhuC,[]
G_STM3295,folP,[]
G_STM0774,galK,[]
G_STM0194,fhuB,[]
G_STM2101,wcaK,[]
G_STM0193,fhuD,[]
G_STM0773,galM,[]
G_STM3486,aroB,[]
G_STM3016,araE,[]
G_STM1358,aroD,[]
G_STM1522,ydeA,[]
G_STM4298,melA,[]
G_STM4294,yjdE,[]
G_STM3719,rfaB,[]
G_STM0423,ispA,[]
G_STM4296,adi,[]
G_STM0049,lytB,[]
G_STM3086,speA,[]
G_STM3134,STM3134,[]
G_STM1477,ydgI,[]
G_STM1752,galU,[]
G_STM2276,ubiG,[]
G_STM4123,argH,[]
G_STM1900,ntpA,[]
G_STM2098,galF,[]
G_STM1909,argS,[]
G_STM2353,hisQ,[]
G_STM2190,mglB,[]
G_STM2189,mglA,[]
G_STM0137,mutT,[]
G_STM2355,argT,[]
G_STM3668,yiaK,[]
G_STM2188,mglC,[]
G_STM0889,artQ,[]
G_STM3091,galP,[]
G_STM0890,artI,[]
G_STM1290,gapA,[]
G_STM0140,yacE,[]
G_STM0891,artP,[]
G_STM0887,artJ,[]
G_STM2500,purN,[]
G_STM2352,hisM,[]
G_STM0888,artM,[]
G_STM2108,wcaG,[]
G_STM2351,hisP,[]
G_STM2956,relA,[]
G_STM3066,yggA,[]
G_STM3742,spoT,[]
G_STM3539,asd,[]
G_STM2107,wcaH,[]
G_STM4382,yjfR,[]
G_STM2477,yffH,[]
G_STM3861,glmS,[]
G_STM4385,ptxA,[]
G_STM3538,glgB,[]
G_STM4384,sgaB,[]
G_STM0847,ybiK,[]
G_STM0472,maa,[]
G_STM3598,STM3598,[]
G_STM0169,gcd,[]
G_STM1294,ansA,[]
G_STM4567,deoC,[]
G_STM3106,ansB,[]
G_STM0861,yliI,[]
G_STM0680,asnB,[]
G_STM3512,gntT,[]
G_STM3541,gntU,[]
G_STM3997,dsbA,[]
G_STM3877,asnA,[]
G_STM1807,dsbB,[]
G_STM3534,glgP,[]
G_STM3514,malP,[]
G_STM1000,asnS,[]
G_STM3249,garL,[]
G_STM3043,dsbC,[]
G_STM1584,ansP,[]
G_STM2961,ygcY,[]
G_STM2960,gudD,[]
G_STM0180,panD,[]
G_STM3535,glgA,[]
G_STM3722,rfaG,[]
G_STM4323,dsbD,[]
G_STM3915,trxA,[]
G_STM4459,pyrI,[]
G_STM2649,trxC,[]
G_STM3718,rfaI,[]
G_STM3717,rfaJ,[]
G_STM4460,pyrB,[]
G_STM4101,metL,[]
G_STM0161,kdgT,[]
G_STM0607,dsbG,[]
G_STM0002,thrA,[]
G_STM1200,tmk,[]
G_STM1750,tdk,[]
G_STM4220,lysC,[]
G_STM4568,deoA,[]
G_STM2641,nadB,[]
G_STM4570,deoD,[]
G_STM4326,aspA,[]
G_STM3731,dut,[]
G_STM0998,aspC,[]
G_STM0220,dxr,[]
G_STM1901,aspS,[]
G_STM0422,dxs,[]
G_STM0664,gltJ,[]
G_STM0663,gltK,[]
G_STM3660,xylB,[]
G_STM0662,gltL,[]
G_STM0665,gltI,[]
G_STM3692,lldP,[]
G_STM3614,dctA,[]
G_STM3070,epd,[]
G_STM4283,gltP,[]
G_STM1700,fabI,[]
G_STM1304,astA,[]
G_STM3713,rfaL,[]
G_STM1511,ydfG,[]
G_STM3928,wecF,[]
G_STM2071,hisG,[]
G_STM3919,wzzE,[]
G_STM3926,wzxE,[]
G_STM2388,yfcX,[]
G_STM3866,atpG,[]
G_STM3869,atpF,[]
G_STM3983,fadB,[]
G_STM3867,atpA,[]
G_STM1884,eda,[]
G_STM3872,atpI,[]
G_STM1885,edd,[]
G_STM3865,atpD,[]
G_STM1465,STM1465,[]
G_STM3868,atpH,[]
G_STM3871,atpB,[]
G_STM3537,glgX,[]
G_STM1155,htrB,[]
G_STM3864,atpC,[]
G_STM3536,glgC,[]
G_STM3870,atpE,[]
G_STM4007,glnA,[]
G_STM3644,bisC,[]
G_STM1889,msbB,[]
G_STM0794,bioB,[]
G_STM0686,glnS,[]
G_STM1771,chaA,[]
G_STM0829,glnP,[]
G_STM2401,ddg,[]
G_STM2952,eno,[]
G_STM2558,cadB,[]
G_STM0584,entD,[]
G_STM2458,eutB,[]
G_STM0828,glnQ,[]
G_STM0830,glnH,[]
G_STM3314,yrbG,[]
G_STM0321,proB,[]
G_STM2457,eutC,[]
G_STM1718,btuR,[]
G_STM2460,eutH,[]
G_STM4109,talC,[]
G_STM2818,gshA,[]
G_STM0330,STM0330,[]
G_STM1299,gdhA,[]
G_STM1525,yneH,[]
G_STM2362,purF,[]
G_STM4131,murI,[]
G_STM3331,gltD,[]
G_STM3330,gltB,[]
G_STM0840,ybiV(2),[]
G_STM0842,ybiV(1),[]
G_STM3787,uhpT,[]
G_STM0113,leuA,[]
G_STM0403,yajB,[]
G_STM0464,tesB,[]
G_STM1818,fadD,[]
G_STM1777,hemA,[]
G_STM2415,gltX,[]
G_STM3746,gltS,[]
G_STM3909,ilvC,[]
G_STM0517,gcl,[]
G_STM2389,yfcY,[]
G_STM3982,fadA,[]
G_STM1350,ydiD,[]
G_STM0988,kdsB,[]
